Time,Dist,Measured
51,0,41
51,0,41
51,0,40
51,0,41
51,0,41
51,0,41
51,0,41
51,0,41
51,0,41
51,0,41
51,0,41
51,0,41
51,0,41
51,0,41
51,0,41
51,0,41
51,0,41
51,0,41
51,0,41
51,0,41
51,0,41
51,0,41
51,0,41
51,0,41
51,0,41
51,0,41
52,0,41
52,0,41
52,0,41
52,0,41
52,0,41
52,0,41
52,0,41
52,0,41
52,0,41
52,0,41
52,0,41
52,0,41
52,0,41
52,0,41
52,0,41
57,35,862
57,35,859
57,35,858
57,35,859
57,35,859
57,35,858
57,35,858
57,35,858
57,35,862
57,35,858
57,35,862
57,35,858
57,35,862
57,35,862
57,35,858
57,35,862
57,35,858
57,35,862
57,35,858
57,35,858
57,35,858
57,35,858
57,35,858
57,35,862
57,35,858
57,35,862
57,35,862
57,35,858
57,35,862
57,35,858
57,35,858
57,35,858
57,35,858
57,35,858
57,35,858
57,35,858
57,35,858
57,35,862
57,35,858
57,35,862
57,35,858
57,35,858
57,35,866
57,35,862
57,35,858
57,35,862
57,35,858
58,35,858
58,35,858
58,35,862
58,35,862
58,35,862
58,35,858
58,35,862
58,35,858
58,35,858
58,35,858
58,35,858
58,35,858
58,35,858
58,35,857
58,35,857
58,35,857
58,35,857
58,35,857
58,35,861
58,35,861
58,35,857
58,35,857
58,35,857
58,35,858
58,35,861
58,35,857
58,35,858
58,35,857
58,35,858
58,35,858
58,35,854
58,35,858
58,35,862
58,35,858
58,35,854
58,35,854
58,35,858
58,35,858
58,35,858
58,35,858
58,35,858
58,35,858
58,35,858
58,35,858
58,35,858
58,35,862
58,35,858
58,35,858
58,35,858
58,35,858
58,35,858
58,35,858
58,35,858

